DIAGNOSIS_CD,DIAGNOSIS_CD_TYPE,n,subCat
O3433,ICD10,111,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O368990,ICD10,111,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O411290,ICD10,111,Maternal care related to the fetus and amniotic cavity and possible delivery problems
P84,ICD10,111,Conditions involving the integument and temperature regulation of fetus and newborn
R1902,ICD10,111,Symptoms and signs involving the digestive system and abdomen
S0083XD,ICD10,111,Injuries to the head
S1096XA,ICD10,111,Injuries to the neck
S32010D,ICD10,111,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
S52121A,ICD10,111,Injuries to the elbow and forearm
S63502D,ICD10,111,Injuries to the wrist and hand
S8011XD,ICD10,111,Injuries to the knee and lower leg
S82201A,ICD10,111,Injuries to the knee and lower leg
S82202A,ICD10,111,Injuries to the knee and lower leg
T7422XA,ICD10,111,Other and unspecified effects of external causes
Y92310,ICD10,111,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Z126,ICD10,111,Persons encountering health services for examination and investigation
Z553,ICD10,111,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
7044,ICD9,110,Other diseases of the skin and subcutaneous tissue 
17321,ICD9,110,"Malignant neoplasm of bone, connective tissue, skin, and breast "
19,OTHER,110,
315642008,SNOMED,110,
37120,ICD9,110,Disorders of the eye and adnexa 
389086002,SNOMED,110,
4.50E+13,SNOMED,110,
4771,ICD9,110,Other diseases of the upper respiratory tract 
47831,ICD9,110,Other diseases of the upper respiratory tract 
56881,ICD9,110,Other diseases of intestines and peritoneum 
66321,ICD9,110,Complications occurring mainly in the course of labor and delivery 
66421,ICD9,110,Complications occurring mainly in the course of labor and delivery 
7103,ICD9,110,Arthropathies and related disorders 
71106,ICD9,110,Arthropathies and related disorders 
7383,ICD9,110,"Osteopathies, chondropathies, and acquired musculoskeletal deformities "
7784,ICD9,110,Other conditions originating in the perinatal period 
95891005,SNOMED,110,
B9781,ICD10,110,"Bacterial, viral and other infectious agents"
G43811,ICD10,110,Episodic and paroxysmal disorders
H01119,ICD10,110,"Disorders of eyelid, lacrimal system and orbit"
H02839,ICD10,110,"Disorders of eyelid, lacrimal system and orbit"
I82502,ICD10,110,"Diseases of veins and lymphatics, and other diseases of circulatory system"
I8511,ICD10,110,"Diseases of veins and lymphatics, and other diseases of circulatory system"
I864,ICD10,110,"Diseases of veins and lymphatics, and other diseases of circulatory system"
K5750,ICD10,110,Other diseases of intestines
N6482,ICD10,110,Disorders Of Breast
N711,ICD10,110,Inflammatory Diseases Of Female Pelvic Organs
Q181,ICD10,110,"Congenital malformations of eye, ear, face and neck"
Q283,ICD10,110,Congenital malformations of the circulatory system
S3141XA,ICD10,110,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
S43102A,ICD10,110,Injuries to the shoulder and upper arm
S52521A,ICD10,110,Injuries to the elbow and forearm
S52572D,ICD10,110,Injuries to the elbow and forearm
S90112A,ICD10,110,Injuries to the ankle and foot
S99912D,ICD10,110,Injuries to the ankle and foot
T424X5A,ICD10,110,"Poisoning by drugs, medicaments and biological substances"
T465X5A,ICD10,110,"Poisoning by drugs, medicaments and biological substances"
V0262,ICD9,110,Factors influencing Health Status 
V1253,ICD9,110,Factors influencing Health Status 
Z436,ICD10,110,Persons encountering health services for specific procedures and health care
Z6711,ICD10,110,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z89611,ICD10,110,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
416,ICD9,109,Diseases of pulmonary circulation 
1491,ICD9,109,Rickettsioses and other arthropod-borne diseases 
1740,ICD9,109,"Malignant neoplasm of bone, connective tissue, skin, and breast "
23879,ICD9,109,Neoplasms of uncertain behavior 
2535,ICD9,109,Diseases of other endocrine glands 
2536,ICD9,109,Diseases of other endocrine glands 
2550,ICD9,109,Diseases of other endocrine glands 
281,ICD9,109,Anemia 
401,ICD9,109,Hypertensive diseases
41513,ICD9,109,Diseases of pulmonary circulation 
5300,ICD9,109,"Diseases of esophagus, stomach, and duodenum"
5571,ICD9,109,Noninfectious enteritis and colitis 
64684,ICD9,109,Complications mainly related to pregnancy 
7094,ICD9,109,Other diseases of the skin and subcutaneous tissue 
71617,ICD9,109,Arthropathies and related disorders 
71905,ICD9,109,Arthropathies and related disorders 
94522,ICD9,109,Burns 
C50012,ICD10,109,Malignant neoplasm of breast
D0462,ICD10,109,In situ neoplasms
F89,ICD10,109,Disorders of psychological development
G43409,ICD10,109,Episodic and paroxysmal disorders
H0015,ICD10,109,"Disorders of eyelid, lacrimal system and orbit"
I618,ICD10,109,Cerebrovascular diseases
K250,ICD10,109,"Diseases of esophagus, stomach, and duodenum"
K8001,ICD10,109,"Disorders of gallbladder, biliary tract and pancreas"
M839,ICD10,109,Disorders of bone density and structure
M9261,ICD10,109,Chondropathies
O10911,ICD10,109,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O2662,ICD10,109,Other maternal disorders predominantly related to pregnancy
O9903,ICD10,109,"Other obstetric conditions, not elsewhere classified"
O99619,ICD10,109,"Other obstetric conditions, not elsewhere classified"
Q0700,ICD10,109,Congenital malformations of the nervous system
R898,ICD10,109,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
R9721,ICD10,109,Ill-defined and unknown causes of mortality
S0280XA,ICD10,109,Injuries to the head
S62617A,ICD10,109,Injuries to the wrist and hand
V1503,ICD9,109,Factors influencing Health Status 
Z31430,ICD10,109,Persons encountering health services in circumstances related to reproduction
161833006,SNOMED,108,
190855004,SNOMED,108,
2919,ICD9,108,Psychosis 
33390,ICD9,108,Hereditary and Degenerative diseases of the central nervous system 
33722,ICD9,108,Hereditary and Degenerative diseases of the central nervous system 
42742,ICD9,108,Other forms of heart disease 
449917004,SNOMED,108,
5271,ICD9,108,"Diseases of oral cavity, salivary glands, and jaws "
71789,ICD9,108,Arthropathies and related disorders 
73393,ICD9,108,"Osteopathies, chondropathies, and acquired musculoskeletal deformities "
7424,ICD9,108,Nervous system 
8072,ICD9,108,Fracture of neck and trunk 
8270,ICD9,108,Fracture of lower limb 
882,ICD9,108,Open wound of upper limb 
9161,ICD9,108,Superficial injury 
C44712,ICD10,108,Melanoma and other malignant neoplasms of skin
C8510,ICD10,108,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
D513,ICD10,108,Nutritional anaemias
E8782,ICD9,108,Supplementary Classification of External Causes of Injury and Poisoning
H00021,ICD10,108,"Disorders of eyelid, lacrimal system and orbit"
H5509,ICD10,108,Other disorders of eye and adnexa
I615,ICD10,108,Cerebrovascular diseases
L679,ICD10,108,Disorders of skin appendages
M489,ICD10,108,Spondylopathies
N130,ICD10,108,Renal tubulo-interstitial diseases
N944,ICD10,108,Noninflammatory disorders of female genital tract
O7020,ICD10,108,Complications of labour and delivery
O779,ICD10,108,Complications of labour and delivery
O98511,ICD10,108,"Other obstetric conditions, not elsewhere classified"
S30810A,ICD10,108,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
S32030A,ICD10,108,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
S43101A,ICD10,108,Injuries to the shoulder and upper arm
S51852A,ICD10,108,Injuries to the elbow and forearm
S92301A,ICD10,108,Injuries to the ankle and foot
T85898A,ICD10,108,"Complications of surgical and medical care, not elsewhere classified"
V167,ICD9,108,Factors influencing Health Status 
V553,ICD9,108,Factors influencing Health Status 
V748,ICD9,108,Factors influencing Health Status 
W1800XA,ICD10,108,Falls
Z842,ICD10,108,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
11851006,SNOMED,107,
123756000,SNOMED,107,
1970,ICD9,107,Malignant neoplasm of other and unspecified sites 
324,ICD9,107,Inflammatory diseases of the central nervous system 
36206,ICD9,107,Disorders of the eye and adnexa 
37749,ICD9,107,Disorders of the eye and adnexa 
64810,ICD9,107,Complications mainly related to pregnancy 
64930,ICD9,107,Complications mainly related to pregnancy 
78667006,SNOMED,107,
92820,ICD9,107,Crushing injury 
A049,ICD10,107,#N/A
B0052,ICD10,107,Viral infections characterized by skin and mucous membrane lesions
B2700,ICD10,107,Other viral diseases
B9710,ICD10,107,"Bacterial, viral and other infectious agents"
C561,ICD10,107,Malignant neoplasms of female genital organs
C9590,ICD10,107,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
D440,ICD10,107,Neoplasms of uncertain behavior
G911,ICD10,107,Other disorders of the nervous system
H2181,ICD10,107,"Disorders of sclera, cornea, iris and ciliary body"
I745,ICD10,107,"Diseases of arteries, arterioles, and capillaries "
L97524,ICD10,107,Other disorders of the skin and subcutaneous tissue
M05742,ICD10,107,Inflammatory polyarthropathies
M2480,ICD10,107,Other joint disorders
N341,ICD10,107,Other diseases of urinary system
N905,ICD10,107,Noninflammatory disorders of female genital tract
O9882,ICD10,107,"Other obstetric conditions, not elsewhere classified"
O99320,ICD10,107,"Other obstetric conditions, not elsewhere classified"
P0738,ICD10,107,Disorders related to length of gestation and fetal growth
Q753,ICD10,107,Congenital malformations and deformations of the musculoskeletal system
S0502XD,ICD10,107,Injuries to the head
S52122A,ICD10,107,Injuries to the elbow and forearm
S61411D,ICD10,107,Injuries to the wrist and hand
S90211A,ICD10,107,Injuries to the ankle and foot
T391X1A,ICD10,107,"Poisoning by drugs, medicaments and biological substances"
T8384XA,ICD10,107,"Complications of surgical and medical care, not elsewhere classified"
T85698A,ICD10,107,"Complications of surgical and medical care, not elsewhere classified"
V137,ICD9,107,Factors influencing Health Status 
V425,ICD9,107,Factors influencing Health Status 
Z89612,ICD10,107,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
111843007,SNOMED,106,
1475003,SNOMED,106,
197940006,SNOMED,106,
199,ICD9,106,Malignant neoplasm of other and unspecified sites 
20696009,SNOMED,106,
28862,ICD9,106,Other 
297217002,SNOMED,106,
315640000,SNOMED,106,
34400,ICD9,106,Other disorders of the central nervous system 
37854,ICD9,106,Disorders of the eye and adnexa 
41080,ICD9,106,Ischemic heart diseases
419076005,SNOMED,106,
43490,ICD9,106,Cerebrovascular disease 
441481004,SNOMED,106,
45352006,SNOMED,106,
C672,ICD10,106,Malignant neoplasms of urinary tract
E8130,ICD9,106,Supplementary Classification of External Causes of Injury and Poisoning
H353130,ICD10,106,Disorders of choroid and retina
H47233,ICD10,106,Disorders of optic nerve and visual pathways
I6310,ICD10,106,Cerebrovascular diseases
I720,ICD10,106,"Diseases of arteries, arterioles, and capillaries "
K700,ICD10,106,Diseases of liver
M23303,ICD10,106,Other joint disorders
M2450,ICD10,106,Other joint disorders
M79629,ICD10,106,Other soft tissue disorders
N442,ICD10,106,Diseases of male genital organs
O26873,ICD10,106,Other maternal disorders predominantly related to pregnancy
O26879,ICD10,106,Other maternal disorders predominantly related to pregnancy
P612,ICD10,106,Haemorrhagic and haematological disorders of fetus and newborn
R87820,ICD10,106,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
S20212D,ICD10,106,Injuries to the thorax
S2231XD,ICD10,106,Injuries to the thorax
S52592D,ICD10,106,Injuries to the elbow and forearm
S53401A,ICD10,106,Injuries to the elbow and forearm
S6292XA,ICD10,106,Injuries to the wrist and hand
T782XXD,ICD10,106,Other and unspecified effects of external causes
T8351XA,ICD10,106,"Complications of surgical and medical care, not elsewhere classified"
V510,ICD9,106,Factors influencing Health Status 
V7650,ICD9,106,Factors influencing Health Status 
W098XXA,ICD10,106,Falls
Z1384,ICD10,106,Persons encountering health services for examination and investigation
Z332,ICD10,106,Persons encountering health services in circumstances related to reproduction
1175,ICD9,105,Mycoses 
160480,OTHER,105,
160728,OTHER,105,
23989,ICD9,105,Neoplasms of unspecified nature 
266096002,SNOMED,105,
28249,ICD9,105,Anemia 
28260,ICD9,105,Anemia 
29624,ICD9,105,Psychosis 
3017,ICD9,105,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
33839006,SNOMED,105,
3495,ICD9,105,Other disorders of the central nervous system 
389095005,SNOMED,105,
404,ICD9,105,Hypertensive diseases
5370,ICD9,105,"Diseases of esophagus, stomach, and duodenum"
57401,ICD9,105,Other diseases of digestive system 
67690,ICD9,105,Complications of the puerperium 
68235000,SNOMED,105,
693,ICD9,105,Other inflammatory conditions of skin and subcutaneous tissue 
74781,ICD9,105,Circulatory system 
807,ICD9,105,Fracture of neck and trunk 
99641,ICD9,105,"Complications of surgical and medical care, not elsewhere classified "
A414,ICD10,105,Other bacterial diseases
B159,ICD10,105,Viral hepatitis
E9248,ICD9,105,Supplementary Classification of External Causes of Injury and Poisoning
G610,ICD10,105,Polyneuropathies and other disorders of the peripheral nervous system
H519,ICD10,105,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
